17.1,11.1,0,17.6
16.6,11.4,0,38
15.8,9.4,0,11.9
14.2,8.2,0,44.7
9.2,4.3,1,52.1
8,4,1,43.5
5.4,0.3,12,65.6
4.6,-0.7,16,64.4
9.3,2.2,4,30.6
7.6,2.3,3,29
11.7,6.6,0,53.7
15.6,9,0,36.2
16.4,9.9,0,102.2
16.2,11.3,0,86.3
16.5,10.3,0,50.1
14.4,8.8,0,18.9
11.4,5.5,3,27.3
6.6,1.6,11,108.8
3.5,-2.2,22,44.9
3.6,-0.5,16,30.7
7,1.5,8,83.2
9.3,3.8,0,37.6
12.2,5.3,2,106
15.8,8.9,0,35.3
18.4,11.5,0,26.1
17.2,10.1,0,57.8
16.7,8.4,0,20.8
13.2,8,0,65.8
9.5,3.4,4,44.7
7.8,3.8,2,107.9
4.7,0.5,12,76.5
7.2,2.5,5,44.3
6.5,1.3,8,56
9.8,4.7,0,11.4
12.2,5.7,0,12.2
16.2,9.8,0,85.8
16.4,10.7,0,51.1
18,11.5,0,107.2
17.6,10.8,0,30
11.6,5.5,1,76.5
9.3,5,1,44.8
8.9,2.3,6,36.4
7.6,1,11,20.4
5.9,0.8,11,38.7
9.2,3.6,1,88.6
8.9,4,3,31.2
13.6,6.9,0,40.9
16,9.6,0,15.9
17.9,11.4,0,107
18.5,11.7,0,42.2
17.8,10.4,0,80.9
11.6,5.5,1,76.5
10.3,4.1,1,45.6
4.2,-1.9,18,76.7
6,-0.4,14,39.7
7.3,1.7,7,14.9
8.4,2.3,3,52.2
10.7,4.3,0,5.9
13.9,6.1,1,17.2
15.6,10.2,0,171.8
17.6,11.7,0,13.5
18,11.8,0,52.4
17.8,10,0,34.3
12.3,7.1,0,53.2
9.7,4.6,2,59.7
6.8,0.7,13,51.6
9,2.9,3,27
4.5,-0.5,16,14.3
9.1,3.5,2,34
8.3,2.6,3,93.1
10.8,5.7,0,63.6
15.4,9.1,0,24.3
19.4,12.5,0,30.9
18.7,12,0,46.2
16.2,9.8,0,60.3
13.2,8.2,0,45.4
9.7,5.2,3,33.4
8.2,2.8,6,73.6
5.5,1.5,5,86
5.8,1,8,29.4
6,2.5,1,59.9
10.1,2.9,5,11.6
10.3,5.1,3,37.6
15.8,9.8,0,50.7
18.4,11.3,0,38
18.5,12,0,53.8
15.5,10.6,0,78.1
14.1,7.3,0,44.9
10.1,6.4,0,110.9
7.8,2.8,6,73.6
4.5,-0.5,16,54.4
5.3,-0.2,14,3.7
7.6,1.4,9,51.5
10.5,4.9,1,53.1
11.5,6.2,0,82.6
14.2,7.9,0,33.6
18.2,11.8,0,78
18.5,12,0,48.2
17.2,10.4,0,37
13.8,7.9,0,23
7.2,2.2,5,80.2
8.3,4,7,48.9
5.9,0.4,12,63.7
2.2,-1.8,20,23.1
8.2,1.2,6,38.9
7.8,1.8,5,68.2
14.3,7.3,0,87.6
16,9.3,0,25.1
18.8,11.5,0,25.4
15.3,9.4,0,97.8
15.3,7.2,0,21.7
13.6,7,0,38.3
10.6,4.3,0,26.1
8.6,2.5,2,99.8
3.9,-0.7,16,31.5
6.8,1,11,31.4
6.4,0.4,12,75.1
12.4,5.7,0,59.4
11.1,5.2,0,25.3
14.1,8.3,0,80.4
17.4,11.7,0,59.2
17.4,11.5,0,66.7
16.4,9,0,44.5
12.3,5.8,1,96.3
9,4.3,2,27.6
8.7,3.7,5,30.4
7.2,2.5,1,62.3
7.2,2.2,5,50.9
8.3,2.4,5,63.8
10.2,4,4,39.3
12.4,6.4,0,33.6
15.7,9.3,0,14.4
17.2,10.8,0,76.3
18,10.9,0,44.8
16,9.3,0,33.3
12.3,7.4,0,75.9
9,3.1,2,65
10,4.7,0,15.6
9.1,3,0,10.7
9.1,1.7,7,32
10.3,1.7,8,32.9
